iata_code,name,municipality,iso_country,continent,latitude_deg,longitude_deg
INV,Inverness Airport,Inverness,GB,EU,57.54249954,-4.047500134
LDG,Leshukonskoye Airport,Leshukonskoye,RU,EU,64.89600372,45.72299957
LEQ,Land's End Airport,Land's End,GB,EU,50.102798,-5.67056
LED,Pulkovo Airport,St. Petersburg,RU,EU,59.8003006,30.26250076
LEH,Le Havre Octeville Airport,Le Havre/Octeville,FR,EU,49.53390121,0.088055998
LEJ,Leipzig/Halle Airport,Leipzig,DE,EU,51.423889,12.236389
LBA,Leeds Bradford Airport,Leeds,GB,EU,53.86589813,-1.660570025
LEU,Pirineus - la Seu d'Urgel Airport,La Seu d'Urgell Pyrenees and Andorra,ES,EU,42.3386,1.40917
LGG,Liège Airport,Liège,BE,EU,50.63740158,5.443220139
LSI,Sumburgh Airport,Lerwick,GB,EU,59.87889862,-1.295560002
LWK,Lerwick / Tingwall Airport,Lerwick,GB,EU,60.19219971,-1.243610024
LIG,Limoges Airport,Limoges/Bellegarde,FR,EU,45.8628006,1.179440022
LIL,Lille-Lesquin Airport,Lille/Lesquin,FR,EU,50.563332,3.086886
LIN,Milano Linate Airport,Milan,IT,EU,45.445099,9.27674
LIS,Humberto Delgado Airport (Lisbon Portela Airport),Lisbon,PT,EU,38.7813,-9.13592
LJU,Ljubljana Jože Pučnik Airport,Ljubljana,SI,EU,46.223701,14.4576
LKL,Banak Airport,Lakselv,NO,EU,70.06880188,24.9734993
LKN,Leknes Airport,Leknes,NO,EU,68.15249634,13.6093998
LLA,Luleå Airport,Luleå,SE,EU,65.54380035,22.12199974
LMP,Lampedusa Airport,Lampedusa,IT,EU,35.497898,12.6181
LNZ,Linz Hörsching Airport,Linz,AT,EU,48.2332,14.1875
LPA,Gran Canaria Airport,Gran Canaria Island,ES,EU,27.93190002,-15.38659954
LPI,Linköping City Airport,Linköping,SE,EU,58.40620041,15.68050003
LPK,Lipetsk Airport,Lipetsk,RU,EU,52.70280075,39.53779984
LPL,Liverpool John Lennon Airport,Liverpool,GB,EU,53.33359909,-2.849720001
LPX,Liepāja International Airport,Liepāja,LV,EU,56.51750183,21.09690094
LPY,Le Puy-Loudes Airport,Le Puy/Loudes,FR,EU,45.08069992,3.7628901
LRH,La Rochelle-Île de Ré Airport,La Rochelle/Île de Ré,FR,EU,46.17919922,-1.195279956
LRS,Leros Airport,Leros Island,GR,EU,37.184898,26.800301
LRT,Lorient South Brittany (Bretagne Sud) Airport,Lorient/Lann/Bihoué,FR,EU,47.76060104,-3.440000057
